fecha,merval_price_return_ars,merval_total_return_ars,merval_apertura,merval_maximo,merval_minimo,merval_cierre,embi_spread_arg,embi_spreads_brz,embi_spread_global,emae_original,emae_desestacionalizado,emae_tendencia_ciclo,tc_minorista,tc_mayorista,rrii,tamar,badlar,tm20,tasa_depositos,tasa_prestamos_personales,base_monetaria,circulacion_monetaria,dep_ccorrientes,dep_cahorro,dep_plazo,inflacion_rem,cer,uva,m1,m2,m3
2024-10-01,1517592.02,1728761.16,1697400.625,1737280,1681680,1728761.125,1287.887,210.367,323.12,147.9975284,149.0659407,148.2087261,1005.53,971.25,28.461,44.1875,42,43.1875,37.61,66.12,23753981,14831896,20872156,49928240,45186941,35,4699775,1185.22,35704052,85632292,130819233
2024-10-02,1505651.32,1715158.94,1728761.125,1737220,1713790,1715159,1278.02,202.058,321.211,147.9975284,149.0659407,148.2087261,1006.48,971.75,29.138,43.6875,40.0625,41.6875,38.41,70.55,24129288,14869181,20764329,50053969,45187714,35,4706225,1186.85,35633510,85687479,130875193
2024-10-03,1540619.08,1754992.39,1715159,1756900,1715160,1754992.375,1264.725,196.609,318.365,147.9975284,149.0659407,148.2087261,1006.78,972.75,29.231,43.6875,40.4375,42,39.52,69.64,24190411,14951887,20506818,49914235,45268430,35,4712684,1188.48,35458705,85372940,130641370
2024-10-04,1541955.27,1756514.5,1754992.375,1763550,1747130,1756515.5,1239.093,194.898,312.592,147.9975284,149.0659407,148.2087261,1006.75,974.83,28.313,43.375,39.8125,41.3125,38.57,69.46,24159079,15003839,20042173,50018381,45031409,35,4719151,1190.11,35046012,85064393,130095802
2024-10-07,1505155.08,1714593.66,1756515.5,1756510,1707200,1714593.625,1203.516,194.874,312.986,147.9975284,149.0659407,148.2087261,1008.7,975.5,28.557,42.8125,39.0625,40.875,38.89,71.03,24006331,15043715,20241818,48662084,44865592,35,4738607,1191.74,35285533,83947617,128813209
2024-10-08,1519881.88,1731369.65,1714593.625,1737430,1714420,1731369.625,1184.795,197.896,316.041,147.9975284,149.0659407,148.2087261,1009.75,975.92,28.388,40.75,38.5,39.75,37.94,69.65,23956307,15101095,20427787,48241260,45051245,35,4745109,1196.65,35528882,83770142,128821387
2024-10-09,1555490.19,1771932.78,1731369.625,1784040,1712530,1771931.75,1124.822,197.67,310.957,147.9975284,149.0659407,148.2087261,1009.76,976.25,28.346,43.125,38.5625,40.125,38.04,70.4,23876709,15198216,20390462,47728522,45197611,35,4751621,1198.3,35588678,83317200,128514811
2024-10-10,1565196,1782989.12,1771931.75,1807040,1768920,1782989.125,1124.717,202.931,314.862,147.9975284,149.0659407,148.2087261,1011.27,979.42,28.632,44.25,39.625,41.4375,39.03,71.9,24964156,15246086,21107794,47124521,45821403,35,4758142,1199.94,36353880,83478401,129299804
2024-10-14,1584004.34,1804414.59,1782989.125,1821030,1782990,1797829.875,,,,147.9975284,149.0659407,148.2087261,1011.22,980.17,28.702,43.125,39.6875,41.375,38.97,73.55,23545508,15275380,22458128,46219451,45734171,35,4784315,1201.59,37733508,83952959,129687130
2024-10-15,1594394.52,1816250.54,1797829.875,1823000,1786600,1816250.5,1043.599,202.394,313.239,147.9975284,149.0659407,148.2087261,1012.18,980.58,28.271,40.6875,39.375,40.1875,39.27,68.83,22743863,15282126,23292858,45359430,46979485,35,4790881,1208.2,38574984,83934414,130913899
2024-10-16,1559113.72,1776060.51,1797829.875,1834670,1773040,1776060.5,1052.785,202.999,312.369,147.9975284,149.0659407,148.2087261,1011.85,981.58,28.294,43.625,40.4375,42,39.29,69.29,22644832,15281782,22781636,45646568,47365496,35,4796200,1209.85,38063418,83709986,131075482
2024-10-17,1581536.95,1801603.87,1776060.5,1815010,1776060,1802713.125,1099.502,196.793,302.881,147.9975284,149.0659407,148.2087261,1012.92,981.75,28.273,44.25,40.625,42.3125,37.36,68.78,22676812,15296039,21985895,46160838,48095587,35,4801526,1211.2,37281934,83442772,131538359
2024-10-18,1600609.05,1823329.81,1801603.875,1817810,1781720,1805584.375,1096.098,199.986,305.264,147.9975284,149.0659407,148.2087261,1014.42,983.83,28.488,43.875,40.25,41.875,38.71,70.01,22522901,15306705,21896947,46137914,49065778,35,4806857,1212.54,37203652,83341566,132407344
2024-10-21,1598305.19,1820705.37,1805584.375,1831960,1812430,1820705.375,1093.904,198.3,304.353,147.9975284,149.0659407,148.2087261,1018.86,984.42,28.314,43.3125,41.3125,42.75,39.92,72.05,22706815,15311529,22849372,45428804,48793758,35,4822887,1213.89,38160901,83589705,132383463
2024-10-22,1586747.33,1807539.27,1820705.375,1835810,1803590,1807539.25,1100.765,202.995,309.751,147.9975284,149.0659407,148.2087261,1015.3,984.83,28.416,44.25,42.3125,43.4375,41.12,69.68,22914174,15315431,23435882,45098217,49421794,35,4828242,1217.94,38751313,83849530,133271324
2024-10-23,1557584.57,1774318.59,1807539.25,1810060,1759560,1774318.625,1093.482,204.644,311.142,147.9975284,149.0659407,148.2087261,1015.43,985.92,28.511,44.125,40.875,42.4375,38.58,69.22,22775031,15327495,23183090,46052273,49356014,35,4833603,1219.29,38510585,84562858,133918872
2024-10-24,1624016.9,1849994.8,1774318.625,1852320,1774320,1849994.75,1036.602,205.44,310.193,147.9975284,149.0659407,148.2087261,1015.68,986.33,29.057,44.3125,42.375,43.4375,39.88,71.07,22507691,15343371,23006616,46650956,49578016,35,4838970,1220.64,38349987,85000943,134578959
2024-10-25,1644022.96,1872784.66,1849994.75,1894260,1849990,1872784.625,967.356,198.724,304.433,147.9975284,149.0659407,148.2087261,1018.2,988.33,29.163,44,41.0625,42.5,38.47,71.17,22685890,15361792,22647214,47098275,50319180,35,4844342,1222,38009006,85107281,135426461
2024-10-28,1625701.46,1851913.76,1872784.625,1902990,1845460,1851913.75,967.356,198.724,304.433,147.9975284,149.0659407,148.2087261,1018.83,988.83,29.368,43.625,40.3125,41.9375,39.08,75.16,22202345,15406298,23947099,47645336,49472640,35,4860497,1223.36,39353397,86998733,136471373
2024-10-29,1620193.36,1845639.23,1851913.75,1883420,1844120,1845639.25,933.841,198.354,305.453,147.9975284,149.0659407,148.2087261,1019.74,989.25,29.669,44.4375,42.5,43.5,40.59,70.22,22150936,15469317,24278236,48963547,49617649,35,4865894,1227.43,39747553,88711100,138328749
2024-10-30,1613079.25,1837535.2,1845639.25,1870920,1825750,1837535.25,956.838,194.961,300.396,147.9975284,149.0659407,148.2087261,1020.01,990.25,29.863,43.875,41.4375,42.625,39.47,69.62,22501007,15478969,24428847,50623156,49166279,35,4871297,1228.8,39907816,90530972,139697251
2024-10-31,1622919.11,1848744.26,1837535.25,1857860,1815360,1848744.25,983.968,200.871,304.861,147.9975284,149.0659407,148.2087261,1020.75,990.75,28.618,42.125,40.5625,41.5,40.45,68.27,22715300,15532073,23604153,53138559,48569336,35,4876705,1230.16,39136226,92274785,140844121
2024-11-01,1647680.59,1879878.59,1848744.25,1908130,1851670,1879878.625,949.795,197.846,300.13,148.070583,150.6287101,149.1147044,1022.75,992.75,29.603,39.75,37.5,38.5625,36.7,72.04,25347133,15588184,21846465,54148657,48899290,29.4,4882120,1231.53,37434649,91583306,140482596
2024-11-04,1682027.69,1919066.03,1879876.625,1926470,1875850,1919066,955.031,204.847,306.437,148.070583,150.6287101,149.1147044,1022.93,993.33,30.182,39.1875,36.6875,37.9375,36.1,72.49,26060126,15644455,22204535,52337066,48968208,29.4,4898401,1232.9,37848990,90186056,139154264
2024-11-05,1690937.72,1931281.18,1919066,1942610,1905730,1931281.125,929.097,213.11,309.323,148.070583,150.6287101,149.1147044,1023.7,994.75,30.432,39.4375,36.3125,37.6875,36.33,70.5,26160894,15689751,21870949,53037834,48897842,29.4,4903840,1237.01,37560700,90598534,139496376
2024-11-06,1730628.05,1976612.94,1931281.125,2016580,1931280,1976613,866.469,206.577,301.384,148.070583,150.6287101,149.1147044,,,,,,,,,,,,,,29.4,4909284,1238.38,0,0,0
2024-11-07,1764726.22,2015557.7,1976613,2030330,1976610,2030329.375,856.147,200.813,297.23,148.070583,150.6287101,149.1147044,1026.6,995.33,29.668,38.625,35,36.375,35.34,72.32,26103201,15750210,21739926,52629773,48739395,29.4,4914735,1238.38,37490136,90119909,138859304
2024-11-08,1720011.37,1964487.25,2030329.375,2059050,1928410,1964487.25,848.427,198.321,294.026,148.070583,150.6287101,149.1147044,1025.88,997.25,29.838,39,36,37.375,34.88,71.76,25776705,15780778,21476768,52175275,49119100,29.4,4920192,1241.13,37257546,89432821,138551921
2024-11-11,1740463.1,1987845.91,1964487.25,1991100,1918410,1987845.875,,,,148.070583,150.6287101,149.1147044,1026.73,997.75,29.859,38.4375,35.5,36.875,35.38,74.57,25849707,15809492,22578043,50647516,49169206,29.4,4936600,1242.51,38387535,89035051,138204257
2024-11-12,1762275.41,2012758.54,1987845.875,2017030,1958180,2012040.875,816.902,199.292,290.705,148.070583,150.6287101,149.1147044,1028,998.75,29.962,38.875,36.375,37.625,36.17,70.2,25178421,15822726,23274454,49853445,50314189,29.4,4942081,1246.65,39097180,88950625,139264814
2024-11-13,1788360.29,2042551.02,2012040.875,2049780,2012040,2042551,796.415,198.746,290.038,148.070583,150.6287101,149.1147044,1028.99,999.25,30.023,38.75,36.125,37.4375,35.59,70.11,25164527,15852958,23518891,50004155,50421472,29.4,4947569,1248.04,39371849,89376004,139797476
2024-11-14,1827523.18,2087646.57,2042551,2094440,2042920,2087646.625,771.645,203.988,292.315,148.070583,150.6287101,149.1147044,1029.18,999.75,30.193,38.9375,35.6875,37.125,35.93,69.52,25053050,15924912,23751880,49900837,51397584,29.4,4953062,1249.42,39676792,89577629,140975213
